message,variant,metric,value,unit
_meta,clock,empty_op_clean_mean,2.5732,ns
_meta,clock,empty_op_perop_median,26.0000,ns
A,protobuf,size,65.0000,B
A,capnp,size,96.0000,B
A,capnp-packed,size,69.0000,B
A,protobuf,gzip,76.0000,B
A,capnp,gzip,87.0000,B
A,capnp-packed,gzip,80.0000,B
A,protobuf,encode_mean,109.9037,ns
A,protobuf,encode_median,119.0000,ns
A,protobuf,encode_p99,215.0000,ns
A,protobuf-reuse,encode_mean,72.5651,ns
A,protobuf-reuse,encode_median,84.0000,ns
A,protobuf-reuse,encode_p99,122.0000,ns
A,protobuf-arena,encode_mean,119.6131,ns
A,protobuf-arena,encode_median,132.0000,ns
A,protobuf-arena,encode_p99,249.0000,ns
A,capnp,encode_mean,126.5972,ns
A,capnp,encode_median,146.0000,ns
A,capnp,encode_p99,254.0000,ns
A,capnp-scratch,encode_mean,80.4937,ns
A,capnp-scratch,encode_median,98.0000,ns
A,capnp-scratch,encode_p99,136.0000,ns
A,protobuf,decode_mean,88.5784,ns
A,protobuf,decode_median,100.0000,ns
A,protobuf,decode_p99,122.0000,ns
A,protobuf-reuse,decode_mean,67.4883,ns
A,protobuf-reuse,decode_median,89.0000,ns
A,protobuf-reuse,decode_p99,127.0000,ns
A,capnp,decode_mean,71.2494,ns
A,capnp,decode_median,89.0000,ns
A,capnp,decode_p99,127.0000,ns
A,capnp-packed,decode_mean,225.5792,ns
A,capnp-packed,decode_median,235.0000,ns
A,capnp-packed,decode_p99,331.0000,ns
A,protobuf,encode_alloc_calls,3.0000,calls
A,protobuf,encode_alloc_bytes,88.0000,B
A,capnp,encode_alloc_calls,2.0000,calls
A,capnp,encode_alloc_bytes,8288.0000,B
A,protobuf,decode_alloc_calls,2.0000,calls
A,protobuf,decode_alloc_bytes,64.0000,B
A,capnp,decode_alloc_calls,0.0000,calls
A,capnp,decode_alloc_bytes,0.0000,B
B,protobuf,size,6362.0000,B
B,capnp,size,6712.0000,B
B,capnp-packed,size,5907.0000,B
B,protobuf,gzip,5651.0000,B
B,capnp,gzip,5247.0000,B
B,capnp-packed,gzip,5395.0000,B
B,protobuf,encode_mean,7368.8785,ns
B,protobuf,encode_median,6885.0000,ns
B,protobuf,encode_p99,12860.0000,ns
B,protobuf-arena,encode_mean,5610.9855,ns
B,protobuf-arena,encode_median,5232.0000,ns
B,protobuf-arena,encode_p99,10167.0000,ns
B,protobuf-reuse,encode_mean,3830.6551,ns
B,protobuf-reuse,encode_median,3745.0000,ns
B,protobuf-reuse,encode_p99,7873.0000,ns
B,capnp,encode_mean,2680.0985,ns
B,capnp,encode_median,2622.0000,ns
B,capnp,encode_p99,3083.0000,ns
B,capnp-scratch,encode_mean,2547.9597,ns
B,capnp-scratch,encode_median,2444.0000,ns
B,capnp-scratch,encode_p99,4977.0000,ns
B,protobuf,decode_mean,6806.5207,ns
B,protobuf,decode_median,6420.0000,ns
B,protobuf,decode_p99,12185.0000,ns
B,protobuf-reuse,decode_mean,4129.4347,ns
B,protobuf-reuse,decode_median,4025.0000,ns
B,protobuf-reuse,decode_p99,7790.0000,ns
B,capnp,decode_mean,1139.4723,ns
B,capnp,decode_median,1073.0000,ns
B,capnp,decode_p99,1254.0000,ns
B,capnp-packed,decode_mean,5862.7844,ns
B,capnp-packed,decode_median,5868.0000,ns
B,capnp-packed,decode_p99,11543.0000,ns
B,protobuf,peek_mean,6464.9788,ns
B,protobuf,peek_median,6251.0000,ns
B,protobuf,peek_p99,12050.0000,ns
B,capnp,peek_mean,55.8705,ns
B,capnp,peek_median,80.0000,ns
B,capnp,peek_p99,106.0000,ns
B,protobuf,encode_alloc_calls,264.0000,calls
B,protobuf,encode_alloc_bytes,15384.0000,B
B,capnp,encode_alloc_calls,2.0000,calls
B,capnp,encode_alloc_bytes,14904.0000,B
B,protobuf,decode_alloc_calls,136.0000,calls
B,protobuf,decode_alloc_bytes,11032.0000,B
B,capnp,decode_alloc_calls,0.0000,calls
B,capnp,decode_alloc_bytes,0.0000,B
C,protobuf,size,1048604.0000,B
C,capnp,size,1048656.0000,B
C,capnp-packed,size,1049842.0000,B
C,protobuf,gzip,784927.0000,B
C,capnp,gzip,784958.0000,B
C,protobuf,encode_mean,225180.7115,ns
C,protobuf,encode_median,212459.0000,ns
C,protobuf,encode_p99,344068.0000,ns
C,capnp,encode_mean,147299.2085,ns
C,capnp,encode_median,133153.0000,ns
C,capnp,encode_p99,229321.0000,ns
C,protobuf,decode_mean,47281.7745,ns
C,protobuf,decode_median,43601.0000,ns
C,protobuf,decode_p99,88516.0000,ns
C,capnp,decode_mean,6356.8455,ns
C,capnp,decode_median,5684.0000,ns
C,capnp,decode_p99,14600.0000,ns
C,protobuf,peek_mean,44642.0890,ns
C,protobuf,peek_median,39736.0000,ns
C,protobuf,peek_p99,91315.0000,ns
C,capnp,peek_mean,69.0165,ns
C,capnp,peek_median,93.0000,ns
C,capnp,peek_p99,116.0000,ns
C,protobuf,encode_alloc_calls,4.0000,calls
C,protobuf,encode_alloc_bytes,2097226.0000,B
C,capnp,encode_alloc_calls,7.0000,calls
C,capnp,encode_alloc_bytes,1057056.0000,B
C,protobuf,decode_alloc_calls,3.0000,calls
C,protobuf,decode_alloc_bytes,1048649.0000,B
C,capnp,decode_alloc_calls,4.0000,calls
C,capnp,decode_alloc_bytes,192.0000,B
_meta,process,peak_rss,17048.0000,KiB
