message,variant,metric,value,unit
_meta,clock,empty_op_clean_mean,2.6002,ns
_meta,clock,empty_op_perop_median,26.0000,ns
A,protobuf,size,65.0000,B
A,capnp,size,96.0000,B
A,capnp-packed,size,69.0000,B
A,protobuf,gzip,76.0000,B
A,capnp,gzip,87.0000,B
A,capnp-packed,gzip,80.0000,B
A,protobuf,encode_mean,103.8821,ns
A,protobuf,encode_median,115.0000,ns
A,protobuf,encode_p99,165.0000,ns
A,protobuf-reuse,encode_mean,62.2150,ns
A,protobuf-reuse,encode_median,91.0000,ns
A,protobuf-reuse,encode_p99,113.0000,ns
A,protobuf-arena,encode_mean,108.1170,ns
A,protobuf-arena,encode_median,116.0000,ns
A,protobuf-arena,encode_p99,154.0000,ns
A,capnp,encode_mean,116.2921,ns
A,capnp,encode_median,138.0000,ns
A,capnp,encode_p99,214.0000,ns
A,capnp-scratch,encode_mean,77.1529,ns
A,capnp-scratch,encode_median,93.0000,ns
A,capnp-scratch,encode_p99,126.0000,ns
A,protobuf,decode_mean,82.5196,ns
A,protobuf,decode_median,94.0000,ns
A,protobuf,decode_p99,115.0000,ns
A,protobuf-reuse,decode_mean,63.5179,ns
A,protobuf-reuse,decode_median,83.0000,ns
A,protobuf-reuse,decode_p99,106.0000,ns
A,capnp,decode_mean,67.6772,ns
A,capnp,decode_median,85.0000,ns
A,capnp,decode_p99,109.0000,ns
A,capnp-packed,decode_mean,209.1208,ns
A,capnp-packed,decode_median,224.0000,ns
A,capnp-packed,decode_p99,276.0000,ns
B,protobuf,size,6362.0000,B
B,capnp,size,6712.0000,B
B,capnp-packed,size,5907.0000,B
B,protobuf,gzip,5651.0000,B
B,capnp,gzip,5247.0000,B
B,capnp-packed,gzip,5395.0000,B
B,protobuf,encode_mean,6705.5568,ns
B,protobuf,encode_median,6435.0000,ns
B,protobuf,encode_p99,16050.0000,ns
B,protobuf-arena,encode_mean,5433.5735,ns
B,protobuf-arena,encode_median,5088.0000,ns
B,protobuf-arena,encode_p99,9960.0000,ns
B,protobuf-reuse,encode_mean,3595.5545,ns
B,protobuf-reuse,encode_median,3532.0000,ns
B,protobuf-reuse,encode_p99,4823.0000,ns
B,capnp,encode_mean,2536.5567,ns
B,capnp,encode_median,2500.0000,ns
B,capnp,encode_p99,3839.0000,ns
B,capnp-scratch,encode_mean,2506.4680,ns
B,capnp-scratch,encode_median,2443.0000,ns
B,capnp-scratch,encode_p99,2675.0000,ns
B,protobuf,decode_mean,6027.9201,ns
B,protobuf,decode_median,5883.0000,ns
B,protobuf,decode_p99,10881.0000,ns
B,protobuf-reuse,decode_mean,3929.5247,ns
B,protobuf-reuse,decode_median,3901.0000,ns
B,protobuf-reuse,decode_p99,7666.0000,ns
B,capnp,decode_mean,1083.7395,ns
B,capnp,decode_median,1078.0000,ns
B,capnp,decode_p99,1239.0000,ns
B,capnp-packed,decode_mean,5710.7448,ns
B,capnp-packed,decode_median,5594.0000,ns
B,capnp-packed,decode_p99,10548.0000,ns
B,protobuf,peek_mean,4817.3044,ns
B,protobuf,peek_median,4693.0000,ns
B,protobuf,peek_p99,9360.0000,ns
B,capnp,peek_mean,44.0999,ns
B,capnp,peek_median,63.0000,ns
B,capnp,peek_p99,75.0000,ns
C,protobuf,size,1048604.0000,B
C,capnp,size,1048656.0000,B
C,capnp-packed,size,1049842.0000,B
C,protobuf,gzip,784927.0000,B
C,capnp,gzip,784958.0000,B
C,protobuf,encode_mean,210686.8565,ns
C,protobuf,encode_median,198039.0000,ns
C,protobuf,encode_p99,291971.0000,ns
C,capnp,encode_mean,128967.7285,ns
C,capnp,encode_median,121295.0000,ns
C,capnp,encode_p99,213796.0000,ns
C,protobuf,decode_mean,50040.7790,ns
C,protobuf,decode_median,46125.0000,ns
C,protobuf,decode_p99,95691.0000,ns
C,capnp,decode_mean,5498.5855,ns
C,capnp,decode_median,5001.0000,ns
C,capnp,decode_p99,11358.0000,ns
C,protobuf,peek_mean,44306.3365,ns
C,protobuf,peek_median,41354.0000,ns
C,protobuf,peek_p99,86655.0000,ns
C,capnp,peek_mean,67.7945,ns
C,capnp,peek_median,93.0000,ns
C,capnp,peek_p99,95.0000,ns
_meta,process,peak_rss,17100.0000,KiB
